# SignalP-5.0	Organism: euk	Timestamp: 20260406234122
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A5I5K3	OTHER	0.005389	0.994611	
A5I5K4	OTHER	0.000528	0.999472	
A5I5K7	OTHER	0.003126	0.996874	
A5I5K8	OTHER	0.096329	0.903671	
A5I5K9	OTHER	0.010825	0.989175	
A5I5L0	OTHER	0.056201	0.943799	
A5I5L1	OTHER	0.032946	0.967054	
A5I5L2	OTHER	0.000121	0.999879	
A5I5L4	OTHER	0.000855	0.999145	
A5I5L5	OTHER	0.014051	0.985949	
A5I5L7	OTHER	0.000237	0.999763	
A5I5L8	OTHER	0.001991	0.998009	
A5I5L9	OTHER	0.000753	0.999247	
A5I5M1	OTHER	0.436241	0.563759	
A5I5M2	OTHER	0.001037	0.998963	
A5I5M3	OTHER	0.001262	0.998738	
A5I5M4	OTHER	0.396825	0.603175	
A5I5M5	OTHER	0.002273	0.997727	
A5I5M6	OTHER	0.000572	0.999428	
A5I5M7	OTHER	0.000659	0.999341	
A5I5M9	OTHER	0.000367	0.999633	
A5I5N0	OTHER	0.000766	0.999234	
A5I5N1	OTHER	0.049916	0.950084	
A5I5N2	OTHER	0.026603	0.973397	
A5I5N3	OTHER	0.000353	0.999647	
A5I5N4	OTHER	0.000687	0.999313	
A5I5N5	OTHER	0.008868	0.991132	
A5I5N7	SP(Sec/SPI)	0.790384	0.209616	CS pos: 24-25. VIA-FN. Pr: 0.7234
A5I5N9	OTHER	0.001005	0.998995	
A5I5P0	OTHER	0.012710	0.987290	
A5I5P2	OTHER	0.000151	0.999849	
A5I5P3	OTHER	0.022654	0.977346	
A5I5P6	SP(Sec/SPI)	0.996114	0.003886	CS pos: 22-23. TKS-AV. Pr: 0.5016
A5I5P7	OTHER	0.011973	0.988027	
A5I5P8	OTHER	0.048647	0.951353	
A5I5Q2	OTHER	0.015437	0.984563	
A5I5Q3	OTHER	0.000706	0.999294	
A5I5Q6	OTHER	0.001273	0.998727	
A5I5Q8	OTHER	0.004467	0.995533	
A5I5Q9	OTHER	0.000425	0.999575	
A5I5R1	OTHER	0.001707	0.998293	
A5I5R3	SP(Sec/SPI)	0.985078	0.014922	CS pos: 26-27. VSA-SE. Pr: 0.9343
A5I5R4	OTHER	0.205782	0.794218	
A5I5R5	OTHER	0.000648	0.999352	
A5I5R7	SP(Sec/SPI)	0.737512	0.262488	CS pos: 30-31. VSA-LE. Pr: 0.6840
A5I5S1	OTHER	0.000453	0.999547	
A5I5S2	OTHER	0.000530	0.999470	
A5I5S3	OTHER	0.003580	0.996420	
A5I5S7	OTHER	0.000984	0.999016	
A5I5S8	OTHER	0.001690	0.998310	
A5I5T0	OTHER	0.000740	0.999260	
A5I5T1	OTHER	0.001781	0.998219	
A5I5T2	OTHER	0.002441	0.997559	
A5I5T3	OTHER	0.002245	0.997755	
A5I5T4	OTHER	0.000615	0.999385	
A5I5T5	OTHER	0.003374	0.996626	
A5I5T6	OTHER	0.003068	0.996932	
A5I5T7	OTHER	0.000968	0.999032	
A5I5T8	OTHER	0.000641	0.999359	
A5I5T9	OTHER	0.040354	0.959646	
A5I5U0	OTHER	0.000132	0.999868	
A5I5U1	OTHER	0.000465	0.999535	
A5I5U2	OTHER	0.001314	0.998686	
A5I5U4	OTHER	0.002618	0.997382	
A5I5U5	OTHER	0.000453	0.999547	
A5I5U6	OTHER	0.000305	0.999695	
A5I5U7	OTHER	0.037526	0.962474	
A5I5U8	SP(Sec/SPI)	0.963765	0.036235	CS pos: 21-22. AIA-GG. Pr: 0.3487
A5I5V3	OTHER	0.000671	0.999329	
A5I5V4	OTHER	0.000666	0.999334	
A5I5V6	OTHER	0.007462	0.992538	
A5I5V7	OTHER	0.000660	0.999340	
A5I5W5	OTHER	0.001813	0.998187	
A5I5W6	OTHER	0.000379	0.999621	
A5I5W7	OTHER	0.003725	0.996275	
A5I5W8	OTHER	0.000876	0.999124	
A5I5W9	OTHER	0.000274	0.999726	
A5I5X1	OTHER	0.006292	0.993708	
A5I5X2	OTHER	0.000327	0.999673	
A5I5X3	OTHER	0.001659	0.998341	
A5I5X4	OTHER	0.004935	0.995065	
A5I5X5	OTHER	0.000593	0.999407	
A5I5X6	OTHER	0.001140	0.998860	
A5I5X7	OTHER	0.000596	0.999404	
A5I5X8	OTHER	0.006413	0.993587	
A5I5X9	OTHER	0.100285	0.899715	
A5I5Y0	OTHER	0.001033	0.998967	
A5I5Y1	SP(Sec/SPI)	0.894909	0.105091	CS pos: 25-26. SGC-TN. Pr: 0.3210
A5I5Y2	SP(Sec/SPI)	0.662137	0.337863	CS pos: 16-17. ALA-MW. Pr: 0.2486
A5I5Y3	OTHER	0.003396	0.996604	
A5I5Y4	OTHER	0.006639	0.993361	
A5I5Y5	OTHER	0.000285	0.999715	
A5I5Y6	OTHER	0.012313	0.987687	
A5I5Y8	OTHER	0.000243	0.999757	
A5I5Z0	OTHER	0.003884	0.996116	
A5I5Z1	OTHER	0.001037	0.998963	
A5I5Z2	OTHER	0.000600	0.999400	
A5I5Z3	SP(Sec/SPI)	0.816047	0.183953	CS pos: 24-25. SSA-EM. Pr: 0.5467
A5I5Z4	OTHER	0.001588	0.998412	
A5I5Z7	OTHER	0.001335	0.998665	
A5I5Z8	OTHER	0.121612	0.878388	
A5I5Z9	OTHER	0.000777	0.999223	
A5I600	OTHER	0.000303	0.999697	
A5I601	OTHER	0.000684	0.999316	
A5I602	OTHER	0.117348	0.882652	
A5I604	OTHER	0.002033	0.997967	
A5I605	OTHER	0.021484	0.978516	
A5I606	OTHER	0.001530	0.998470	
A5I607	OTHER	0.006608	0.993392	
A5I608	OTHER	0.000690	0.999310	
A5I609	OTHER	0.018549	0.981451	
A5I610	OTHER	0.004754	0.995246	
A5I611	OTHER	0.188163	0.811837	
A5I612	OTHER	0.001625	0.998375	
A5I613	OTHER	0.142320	0.857680	
A5I614	OTHER	0.000255	0.999745	
A5I615	OTHER	0.000765	0.999235	
A5I616	OTHER	0.000924	0.999076	
A5I617	OTHER	0.001543	0.998457	
A5I620	OTHER	0.000370	0.999630	
A5I621	OTHER	0.000511	0.999489	
A5I623	OTHER	0.000855	0.999145	
A5I624	OTHER	0.000668	0.999332	
A5I630	OTHER	0.003186	0.996814	
A5I631	OTHER	0.000443	0.999557	
A5I632	OTHER	0.000366	0.999634	
A5I633	OTHER	0.000378	0.999622	
A5I635	OTHER	0.000530	0.999470	
A5I642	OTHER	0.000267	0.999733	
A5I645	OTHER	0.009768	0.990232	
A5I646	SP(Sec/SPI)	0.506429	0.493571	CS pos: 36-37. CVA-KA. Pr: 0.2147
A5I650	OTHER	0.002707	0.997293	
A5I651	OTHER	0.000564	0.999436	
A5I652	OTHER	0.000722	0.999278	
A5I653	OTHER	0.000875	0.999125	
A5I654	OTHER	0.029658	0.970342	
A5I658	OTHER	0.123378	0.876622	
A5I661	OTHER	0.001970	0.998030	
A5I662	OTHER	0.000869	0.999131	
A5I663	OTHER	0.000431	0.999569	
A5I665	OTHER	0.000470	0.999530	
A5I668	OTHER	0.001036	0.998964	
A5I671	OTHER	0.000362	0.999638	
A5I672	OTHER	0.001403	0.998597	
A5I674	OTHER	0.000786	0.999214	
A5I680	OTHER	0.047320	0.952680	
A5I685	SP(Sec/SPI)	0.828793	0.171207	CS pos: 25-26. SIA-GE. Pr: 0.4126
A5I686	OTHER	0.002621	0.997379	
A5I687	OTHER	0.000471	0.999529	
A5I688	OTHER	0.004906	0.995094	
A5I689	OTHER	0.000338	0.999662	
A5I691	SP(Sec/SPI)	0.659602	0.340398	CS pos: 24-25. TIA-KY. Pr: 0.6176
A5I695	OTHER	0.002967	0.997033	
A5I696	OTHER	0.020511	0.979489	
A5I697	OTHER	0.000881	0.999119	
A5I698	OTHER	0.001364	0.998636	
A5I699	OTHER	0.003266	0.996734	
A5I6A0	OTHER	0.001761	0.998239	
A5I6A1	OTHER	0.001154	0.998846	
A5I6A2	OTHER	0.000229	0.999771	
A5I6A3	OTHER	0.000745	0.999255	
A5I6A4	OTHER	0.001252	0.998748	
A5I6A5	OTHER	0.000881	0.999119	
A5I6A6	OTHER	0.000626	0.999374	
A5I6A7	OTHER	0.000272	0.999728	
A5I6A8	OTHER	0.000301	0.999699	
A5I6A9	OTHER	0.000713	0.999287	
A5I6B0	OTHER	0.000758	0.999242	
A5I6B1	OTHER	0.000646	0.999354	
A5I6B2	OTHER	0.000724	0.999276	
A5I6B3	OTHER	0.001218	0.998782	
A5I6B4	OTHER	0.000233	0.999767	
A5I6B5	OTHER	0.000373	0.999627	
A5I6B6	OTHER	0.000599	0.999401	
A5I6B7	OTHER	0.000666	0.999334	
A5I6B8	OTHER	0.000498	0.999502	
A5I6B9	OTHER	0.000655	0.999345	
A5I6C0	OTHER	0.000949	0.999051	
A5I6C1	OTHER	0.000389	0.999611	
A5I6C2	OTHER	0.000788	0.999212	
A5I6C3	OTHER	0.000748	0.999252	
A5I6C4	OTHER	0.000332	0.999668	
A5I6C5	OTHER	0.001074	0.998926	
A5I6C6	OTHER	0.000716	0.999284	
A5I6C7	OTHER	0.001394	0.998606	
A5I6C8	OTHER	0.052705	0.947295	
A5I6C9	OTHER	0.000713	0.999287	
A5I6D0	OTHER	0.006080	0.993920	
A5I6D1	OTHER	0.002342	0.997658	
A5I6D2	OTHER	0.270886	0.729114	
A5I6D3	OTHER	0.001391	0.998609	
A5I6D4	OTHER	0.002720	0.997280	
A5I6D7	OTHER	0.000420	0.999580	
A5I6D8	OTHER	0.000994	0.999006	
A5I6E2	OTHER	0.000301	0.999699	
A5I6E5	OTHER	0.000238	0.999762	
A5I6E6	OTHER	0.007075	0.992925	
A5I6E7	OTHER	0.000861	0.999139	
A5I6E8	OTHER	0.062439	0.937561	
A5I6F3	OTHER	0.005326	0.994674	
A5I6F4	OTHER	0.000556	0.999444	
A5I6F5	OTHER	0.000315	0.999685	
A5I6F6	OTHER	0.000139	0.999861	
A5I6F7	OTHER	0.000155	0.999845	
A5I6F8	OTHER	0.001146	0.998854	
A5I6F9	OTHER	0.000650	0.999350	
A5I6G3	OTHER	0.000454	0.999546	
A5I6G5	OTHER	0.091338	0.908662	
A5I6G6	OTHER	0.000674	0.999326	
A5I6G7	OTHER	0.000902	0.999098	
A5I6H2	SP(Sec/SPI)	0.938303	0.061697	CS pos: 19-20. CSC-NL. Pr: 0.4107
A5I6H4	OTHER	0.000156	0.999844	
A5I6H5	OTHER	0.002868	0.997132	
A5I6H7	OTHER	0.001880	0.998120	
A5I6H8	OTHER	0.000857	0.999143	
A5I6H9	OTHER	0.004496	0.995504	
A5I6I0	OTHER	0.006264	0.993736	
A5I6I1	OTHER	0.005290	0.994710	
A5I6I2	OTHER	0.001611	0.998389	
A5I6I3	OTHER	0.000808	0.999192	
A5I6I4	OTHER	0.216897	0.783103	
A5I6I5	OTHER	0.007899	0.992101	
A5I6I6	OTHER	0.099950	0.900050	
A5I6I7	OTHER	0.001729	0.998271	
A5I6I8	OTHER	0.005427	0.994573	
A5I6I9	OTHER	0.004814	0.995186	
A5I6J0	OTHER	0.000950	0.999050	
A5I6J1	OTHER	0.389378	0.610622	
A5I6J2	SP(Sec/SPI)	0.943964	0.056036	CS pos: 28-29. VQA-IS. Pr: 0.9057
A5I6J4	OTHER	0.000682	0.999318	
A5I6J7	OTHER	0.001564	0.998436	
A5I6J8	OTHER	0.000558	0.999442	
A5I6J9	OTHER	0.000635	0.999365	
A5I6K1	OTHER	0.081819	0.918181	
A5I6K3	OTHER	0.027223	0.972777	
A5I6K4	OTHER	0.002502	0.997498	
A5I6K5	OTHER	0.000565	0.999435	
A5I6K6	OTHER	0.004772	0.995228	
A5I6K7	OTHER	0.004133	0.995867	
A5I6L2	OTHER	0.000690	0.999310	
A5I6L3	OTHER	0.011188	0.988812	
A5I6L4	OTHER	0.056253	0.943747	
A5I6L9	OTHER	0.000681	0.999319	
A5I6M0	OTHER	0.000733	0.999267	
A5I6M1	OTHER	0.012127	0.987873	
A5I6M2	OTHER	0.001193	0.998807	
A5I6M4	OTHER	0.000684	0.999316	
A5I6M5	OTHER	0.000236	0.999764	
A5I6M6	OTHER	0.000350	0.999650	
A5I6M7	OTHER	0.000793	0.999207	
A5I6M8	OTHER	0.000213	0.999787	
A5I6M9	OTHER	0.343498	0.656502	
A5I6N4	OTHER	0.000396	0.999604	
A5I6N6	OTHER	0.000252	0.999748	
A5I6N7	OTHER	0.000306	0.999694	
A5I6N8	SP(Sec/SPI)	0.584255	0.415745	CS pos: 30-31. GRG-QK. Pr: 0.2419
A5I6N9	OTHER	0.000881	0.999119	
A5I6P0	OTHER	0.002002	0.997998	
A5I6P4	OTHER	0.000672	0.999328	
A5I6P5	OTHER	0.000445	0.999555	
A5I6P6	OTHER	0.028886	0.971114	
A5I6P7	SP(Sec/SPI)	0.670222	0.329778	CS pos: 24-25. VIT-NE. Pr: 0.2086
A5I6P8	SP(Sec/SPI)	0.895846	0.104154	CS pos: 25-26. TGC-NN. Pr: 0.5178
A5I6P9	OTHER	0.000928	0.999072	
A5I6Q0	OTHER	0.000605	0.999395	
A5I6Q1	OTHER	0.007102	0.992898	
A5I6Q2	OTHER	0.000408	0.999592	
A5I6Q3	OTHER	0.138622	0.861378	
A5I6Q5	OTHER	0.000345	0.999655	
A5I6Q6	OTHER	0.022179	0.977821	
A5I6Q7	OTHER	0.001346	0.998654	
A5I6Q9	OTHER	0.028744	0.971256	
A5I6R0	OTHER	0.001055	0.998945	
A5I6R2	OTHER	0.000537	0.999463	
A5I6R3	OTHER	0.002674	0.997326	
A5I6R4	OTHER	0.000576	0.999424	
A5I6R5	OTHER	0.000355	0.999645	
A5I6R6	OTHER	0.000503	0.999497	
A5I6R7	OTHER	0.000502	0.999498	
A5I6R8	OTHER	0.000305	0.999695	
A5I6R9	OTHER	0.000716	0.999284	
A5I6S0	OTHER	0.000611	0.999389	
A5I6S1	OTHER	0.002582	0.997418	
A5I6S2	OTHER	0.007732	0.992268	
A5I6S3	OTHER	0.033289	0.966711	
A5I6S4	OTHER	0.002906	0.997094	
A5I6S5	OTHER	0.000433	0.999567	
A5I6S6	OTHER	0.000745	0.999255	
A5I6S7	OTHER	0.000988	0.999012	
A5I6S8	OTHER	0.000761	0.999239	
A5I6T2	OTHER	0.000851	0.999149	
A5I6T3	OTHER	0.000317	0.999683	
A5I6T4	OTHER	0.001255	0.998745	
A5I6T5	OTHER	0.001360	0.998640	
A5I6T6	OTHER	0.000686	0.999314	
A5I6T7	OTHER	0.040449	0.959551	
A5I6T9	OTHER	0.000290	0.999710	
A5I6U0	OTHER	0.000227	0.999773	
A5I6U1	OTHER	0.002360	0.997640	
A5I6U2	OTHER	0.488391	0.511609	
A5I6U3	OTHER	0.043733	0.956267	
A5I6U6	OTHER	0.001234	0.998766	
A5I6U8	OTHER	0.170409	0.829591	
A5I6U9	OTHER	0.000383	0.999617	
A5I6V0	SP(Sec/SPI)	0.967446	0.032554	CS pos: 22-23. TFA-SC. Pr: 0.6342
A5I6V1	OTHER	0.025204	0.974796	
A5I6V2	SP(Sec/SPI)	0.598169	0.401831	CS pos: 22-23. VTA-GE. Pr: 0.5228
A5I6V3	OTHER	0.001424	0.998576	
A5I6V4	OTHER	0.340932	0.659068	
A5I6V5	OTHER	0.019685	0.980315	
A5I6V6	OTHER	0.003718	0.996282	
A5I6W3	OTHER	0.002597	0.997403	
A5I6W4	OTHER	0.003983	0.996017	
A5I6X2	OTHER	0.004782	0.995218	
A5I6X3	OTHER	0.001253	0.998747	
A5I6X4	OTHER	0.000605	0.999395	
A5I6X5	OTHER	0.000605	0.999395	
A5I6X6	OTHER	0.001428	0.998572	
A5I6X7	OTHER	0.000681	0.999319	
A5I6X9	OTHER	0.000531	0.999469	
A5I6Y0	OTHER	0.301316	0.698684	
A5I6Y1	OTHER	0.002396	0.997604	
A5I6Y2	OTHER	0.000206	0.999794	
A5I6Y3	SP(Sec/SPI)	0.965355	0.034645	CS pos: 21-22. LIA-TG. Pr: 0.2292
A5I6Y4	SP(Sec/SPI)	0.987406	0.012594	CS pos: 21-22. CSS-NI. Pr: 0.7938
A5I6Y5	OTHER	0.004364	0.995636	
A5I6Y6	OTHER	0.002492	0.997508	
A5I6Y7	OTHER	0.001366	0.998634	
A5I6Y9	OTHER	0.001281	0.998719	
A5I6Z0	OTHER	0.002150	0.997850	
A5I6Z1	SP(Sec/SPI)	0.967805	0.032195	CS pos: 19-20. SGC-VE. Pr: 0.5144
A5I6Z5	OTHER	0.040646	0.959354	
A5I6Z6	OTHER	0.002765	0.997235	
A5I6Z9	OTHER	0.000491	0.999509	
A5I701	OTHER	0.009977	0.990023	
A5I702	OTHER	0.000316	0.999684	
A5I703	OTHER	0.000908	0.999092	
A5I704	OTHER	0.001797	0.998203	
A5I706	OTHER	0.000777	0.999223	
A5I707	OTHER	0.000471	0.999529	
A5I708	OTHER	0.003012	0.996988	
A5I709	OTHER	0.001982	0.998018	
A5I710	OTHER	0.007413	0.992587	
A5I711	OTHER	0.001107	0.998893	
A5I712	OTHER	0.001243	0.998757	
A5I713	OTHER	0.002067	0.997933	
A5I714	OTHER	0.000540	0.999460	
A5I715	OTHER	0.000672	0.999328	
A5I716	OTHER	0.000573	0.999427	
A5I717	OTHER	0.002317	0.997683	
A5I718	OTHER	0.000615	0.999385	
A5I722	OTHER	0.001214	0.998786	
A5I725	OTHER	0.002958	0.997042	
A5I726	OTHER	0.000174	0.999826	
A5I727	OTHER	0.000997	0.999003	
A5I729	OTHER	0.000840	0.999160	
A5I730	OTHER	0.005248	0.994752	
A5I732	OTHER	0.002405	0.997595	
A5I734	OTHER	0.014420	0.985580	
A5I735	OTHER	0.235567	0.764433	
A5I736	OTHER	0.000274	0.999726	
A5I739	OTHER	0.000454	0.999546	
A5I740	OTHER	0.004559	0.995441	
A5I741	OTHER	0.006508	0.993492	
A5I742	SP(Sec/SPI)	0.992969	0.007031	CS pos: 25-26. VKA-NG. Pr: 0.8993
A5I743	SP(Sec/SPI)	0.987550	0.012450	CS pos: 21-22. GCS-KP. Pr: 0.3939
A5I744	OTHER	0.003907	0.996093	
A5I746	OTHER	0.003160	0.996840	
A5I749	OTHER	0.002366	0.997634	
A5I750	OTHER	0.000259	0.999741	
A5I751	OTHER	0.020977	0.979023	
A5I752	OTHER	0.000820	0.999180	
A5I753	OTHER	0.000246	0.999754	
A5I755	OTHER	0.000483	0.999517	
A5I758	OTHER	0.000446	0.999554	
A5I759	OTHER	0.004303	0.995697	
A5I763	OTHER	0.000422	0.999578	
A5I764	OTHER	0.002597	0.997403	
A5I765	OTHER	0.000131	0.999869	
A5I767	OTHER	0.000283	0.999717	
A5I769	OTHER	0.089904	0.910096	
A5I772	OTHER	0.003972	0.996028	
A5I775	OTHER	0.057589	0.942411	
A5I776	OTHER	0.000358	0.999642	
A5I777	OTHER	0.008850	0.991150	
A5I778	OTHER	0.009607	0.990393	
A5I779	OTHER	0.000467	0.999533	
A5I780	OTHER	0.002246	0.997754	
A5I782	SP(Sec/SPI)	0.700468	0.299532	CS pos: 15-16. STS-LL. Pr: 0.1987
A5I783	OTHER	0.000320	0.999680	
A5I786	OTHER	0.004914	0.995086	
A5I787	OTHER	0.000842	0.999158	
A5I789	OTHER	0.000472	0.999528	
A5I790	OTHER	0.000729	0.999271	
A5I791	OTHER	0.000737	0.999263	
A5I792	OTHER	0.005249	0.994751	
A5I793	OTHER	0.001135	0.998865	
A5I794	OTHER	0.000565	0.999435	
A5I795	OTHER	0.000993	0.999007	
A5I796	OTHER	0.012205	0.987795	
A5I7A6	OTHER	0.126819	0.873181	
A5I7A7	OTHER	0.001564	0.998436	
A5I7A9	OTHER	0.004037	0.995963	
A5I7B0	OTHER	0.001172	0.998828	
A5I7B3	OTHER	0.124294	0.875706	
A5I7B6	OTHER	0.008126	0.991874	
A5I7B7	OTHER	0.001822	0.998178	
A5I7B8	OTHER	0.003670	0.996330	
A5I7B9	OTHER	0.000579	0.999421	
A5I7C1	OTHER	0.000095	0.999905	
A5I7C3	OTHER	0.325822	0.674178	
A5I7C6	OTHER	0.000403	0.999597	
A5I7C7	OTHER	0.013210	0.986790	
A5I7C8	OTHER	0.000129	0.999871	
A5I7C9	OTHER	0.003451	0.996549	
A5I7D1	OTHER	0.017401	0.982599	
A5I7D2	OTHER	0.000289	0.999711	
A5I7D4	OTHER	0.000361	0.999639	
A5I7D6	OTHER	0.000734	0.999266	
A5I7D7	OTHER	0.000283	0.999717	
A5I7D8	OTHER	0.001479	0.998521	
A5I7D9	OTHER	0.000867	0.999133	
A5I7E1	OTHER	0.004629	0.995371	
A5I7E2	OTHER	0.478731	0.521269	
A5I7E3	OTHER	0.002017	0.997983	
A5I7E4	OTHER	0.000543	0.999457	
A5I7E6	OTHER	0.011986	0.988014	
A5I7E7	OTHER	0.001082	0.998918	
A5I7E8	OTHER	0.001985	0.998015	
A5I7E9	OTHER	0.000766	0.999234	
A5I7F0	OTHER	0.006016	0.993984	
A5I7F2	OTHER	0.000601	0.999399	
A5I7F4	OTHER	0.000152	0.999848	
A5I7F5	OTHER	0.010585	0.989415	
A5I7F7	SP(Sec/SPI)	0.750830	0.249170	CS pos: 27-28. SIA-AF. Pr: 0.2712
A5I7F8	OTHER	0.001534	0.998466	
A5I7G1	OTHER	0.001025	0.998975	
A5I7G2	SP(Sec/SPI)	0.874028	0.125972	CS pos: 24-25. GCT-KE. Pr: 0.2956
A5I7G4	OTHER	0.000562	0.999438	
A5I7G5	OTHER	0.003758	0.996242	
A5I7G6	OTHER	0.001855	0.998145	
A5I7G7	OTHER	0.000614	0.999386	
A5I7G8	OTHER	0.094339	0.905661	
A5I7G9	OTHER	0.096683	0.903317	
A5I7H5	OTHER	0.001145	0.998855	
A5I7I3	OTHER	0.000927	0.999073	
A5I7L2	OTHER	0.000325	0.999675	
A5I7M3	OTHER	0.000643	0.999357	
A5I7M4	OTHER	0.000591	0.999409	
A5I7M5	OTHER	0.000283	0.999717	
A5I7N2	OTHER	0.003161	0.996839	
A5I7N3	OTHER	0.000219	0.999781	
A5I7N6	OTHER	0.000527	0.999473	
A5I7N8	OTHER	0.000655	0.999345	
A5I7N9	OTHER	0.002231	0.997769	
A5I7P0	OTHER	0.000620	0.999380	
A5I7P6	OTHER	0.000374	0.999626	
A5I7Q3	OTHER	0.000341	0.999659	
A5I7Q4	OTHER	0.001091	0.998909	
A5I7Q5	OTHER	0.128347	0.871653	
A5I7Q6	OTHER	0.002181	0.997819	
A5I7Q7	OTHER	0.000264	0.999736	
A5I7R0	OTHER	0.005505	0.994495	
A5I7R1	OTHER	0.009715	0.990285	
A5I7R2	OTHER	0.001032	0.998968	
A5I7R6	OTHER	0.033480	0.966520	
A5I7S1	OTHER	0.000829	0.999171	
A5I7S2	OTHER	0.000298	0.999702	
A5I7S4	OTHER	0.018800	0.981200	
A5I7S5	OTHER	0.001844	0.998156	
A5I7S6	OTHER	0.000233	0.999767	
A5I7S7	SP(Sec/SPI)	0.664648	0.335352	CS pos: 15-16. ACS-YF. Pr: 0.2438
A5I7S9	OTHER	0.000719	0.999281	
A5I7T0	SP(Sec/SPI)	0.647993	0.352007	CS pos: 24-25. LFG-CK. Pr: 0.2097
A5I7T1	OTHER	0.118765	0.881235	
A5I7T2	OTHER	0.001779	0.998221	
A5I7T4	OTHER	0.000355	0.999645	
A5I7T5	OTHER	0.002531	0.997469	
A5I7T9	OTHER	0.000463	0.999537	
A5I7U1	OTHER	0.003000	0.997000	
A5I7U2	SP(Sec/SPI)	0.870592	0.129408	CS pos: 23-24. ISC-EK. Pr: 0.6318
A5I7U3	OTHER	0.000942	0.999058	
A5I7U6	OTHER	0.008019	0.991981	
A5I7U7	OTHER	0.001859	0.998141	
A5I7U8	OTHER	0.003195	0.996805	
A5I7U9	OTHER	0.000377	0.999623	
A5I7V1	OTHER	0.000937	0.999063	
A5I7V2	OTHER	0.000974	0.999026	
A5I7V3	OTHER	0.017062	0.982938	
A5I7V4	OTHER	0.014138	0.985862	
A5I7V5	OTHER	0.004951	0.995049	
A5I7V7	OTHER	0.000535	0.999465	
A5I7V8	OTHER	0.000451	0.999549	
A5I7V9	SP(Sec/SPI)	0.761180	0.238820	CS pos: 17-18. VAG-YI. Pr: 0.6528
A5I7W0	OTHER	0.000896	0.999104	
A5I7W1	OTHER	0.000979	0.999021	
A5I7W2	OTHER	0.000215	0.999785	
A5I7W3	OTHER	0.080226	0.919774	
A5I7W4	OTHER	0.000556	0.999444	
A5I7W5	OTHER	0.000700	0.999300	
A5I7W6	OTHER	0.000276	0.999724	
A5I7W7	OTHER	0.000825	0.999175	
A5I7X6	OTHER	0.014395	0.985605	
A5I7X9	OTHER	0.000320	0.999680	
A5I7Y0	OTHER	0.001637	0.998363	
A5I7Y1	OTHER	0.122994	0.877006	
A5I7Y2	OTHER	0.000663	0.999337	
A5I7Y3	OTHER	0.000385	0.999615	
A5I7Y5	OTHER	0.002585	0.997415	
A5I7Y6	OTHER	0.112445	0.887555	
A5I7Y7	OTHER	0.000508	0.999492	
A5I7Y8	OTHER	0.001983	0.998017	
A5I7Z0	SP(Sec/SPI)	0.547672	0.452328	CS pos: 18-19. IFA-AY. Pr: 0.3910
A5I7Z1	OTHER	0.000455	0.999545	
A5I7Z7	OTHER	0.000686	0.999314	
A5I7Z8	OTHER	0.000769	0.999231	
A5I802	OTHER	0.000739	0.999261	
A5I803	OTHER	0.000246	0.999754	
A5I804	OTHER	0.000283	0.999717	
A5I805	OTHER	0.000836	0.999164	
A5I807	OTHER	0.001032	0.998968	
