ID	Evidences length	Evidences list	Complete evidences
A5HZF8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZK5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZN6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZU9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZY0	1	PHOBIUS_TM	PHOBIUS_TM
A5I005	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I006	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I073	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I097	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0A6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0A8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0A9	1	PHOBIUS_TM	PHOBIUS_TM
A5I0F5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0G3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0J7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0M2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0M8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0N0	1	PHOBIUS_TM	PHOBIUS_TM
A5I0N4	1	PHOBIUS_TM	PHOBIUS_TM
A5I0R4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0R9	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I0U5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0W2	1	PHOBIUS_TM	PHOBIUS_TM
A5I0W6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1A4	1	PHOBIUS_TM	PHOBIUS_TM
A5I1C7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1D8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1E0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1F4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1G2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1H9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1L0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1M7	1	PHOBIUS_TM	PHOBIUS_TM
A5I1N6	1	PHOBIUS_TM	PHOBIUS_TM
A5I1U0	1	PHOBIUS_TM	PHOBIUS_TM
A5I1V7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1W2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I203	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I221	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I260	1	PHOBIUS_TM	PHOBIUS_TM
A5I283	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2A7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2U2	1	PHOBIUS_TM	PHOBIUS_TM
A5I347	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I350	1	PHOBIUS_TM	PHOBIUS_TM
A5I355	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I356	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I372	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I392	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3P8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3Q7	1	PHOBIUS_TM	PHOBIUS_TM
A5I3S2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3Y3	1	PHOBIUS_TM	PHOBIUS_TM
A5I475	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4H8	1	PHOBIUS_TM	PHOBIUS_TM
A5I4I0	1	PHOBIUS_TM	PHOBIUS_TM
A5I4I2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4K1	1	PHOBIUS_TM	PHOBIUS_TM
A5I4K7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4M1	1	PHOBIUS_TM	PHOBIUS_TM
A5I4P6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4T2	1	PHOBIUS_TM	PHOBIUS_TM
A5I4V5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4V7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4W5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4Y8	1	PHOBIUS_TM	PHOBIUS_TM
A5I512	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I537	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I561	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I562	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I568	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I579	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I580	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I581	1	PHOBIUS_TM	PHOBIUS_TM
A5I582	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I584	1	PHOBIUS_TM	PHOBIUS_TM
A5I596	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5A8	1	PHOBIUS_TM	PHOBIUS_TM
A5I5I2	1	SL	SL
A5I5J4	1	PHOBIUS_TM	PHOBIUS_TM
A5I5L6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5P1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5R8	1	PHOBIUS_TM	PHOBIUS_TM
A5I5S4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5S5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5S6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5V5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I628	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I659	1	PHOBIUS_TM	PHOBIUS_TM
A5I673	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I679	1	PHOBIUS_TM	PHOBIUS_TM
A5I6E0	1	PHOBIUS_TM	PHOBIUS_TM
A5I6E3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6E4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6H6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6Q8	1	PHOBIUS_TM	PHOBIUS_TM
A5I6T8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6V9	1	PHOBIUS_TM	PHOBIUS_TM
A5I719	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I773	1	PHOBIUS_TM	PHOBIUS_TM
A5I784	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7A1	1	PHOBIUS_TM	PHOBIUS_TM
A5I7A8	1	PHOBIUS_TM	PHOBIUS_TM
A5I7B4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7E0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7F6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7H3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7I6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7M0	1	PHOBIUS_TM	PHOBIUS_TM
A5I7R7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I7T3	1	PHOBIUS_TM	PHOBIUS_TM
A5I7Z6	1	PHOBIUS_TM	PHOBIUS_TM
A5I818	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXQ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXR8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXR9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXS1	1	PHOBIUS_TM	PHOBIUS_TM
A5HXT0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXT5	1	SL	SL
A5HXT6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXU0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXU7	1	PHOBIUS_TM	PHOBIUS_TM
A5HXW4	1	PHOBIUS_TM	PHOBIUS_TM
A5HXW7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXW8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXX1	1	PHOBIUS_TM	PHOBIUS_TM
A5HXX3	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
A5HXX6	1	PHOBIUS_TM	PHOBIUS_TM
A5HXY0	1	PHOBIUS_TM	PHOBIUS_TM
A5HXY2	1	PHOBIUS_TM	PHOBIUS_TM
A5HXY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXY7	1	PHOBIUS_TM	PHOBIUS_TM
A5HXY9	1	PHOBIUS_TM	PHOBIUS_TM
A5HXZ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HXZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY04	1	PHOBIUS_TM	PHOBIUS_TM
A5HY18	1	PHOBIUS_TM	PHOBIUS_TM
A5HY19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY20	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY24	1	PHOBIUS_TM	PHOBIUS_TM
A5HY29	1	SL	SL
A5HY33	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY36	1	PHOBIUS_TM	PHOBIUS_TM
A5HY37	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY45	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY54	1	PHOBIUS_TM	PHOBIUS_TM
A5HY56	1	PHOBIUS_TM	PHOBIUS_TM
A5HY69	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY80	1	PHOBIUS_TM	PHOBIUS_TM
A5HY81	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY88	1	PHOBIUS_TM	PHOBIUS_TM
A5HY94	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYA5	1	PHOBIUS_TM	PHOBIUS_TM
A5HYA8	1	PHOBIUS_TM	PHOBIUS_TM
A5HYB4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYC8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYD8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYE0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYF5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYF6	1	PHOBIUS_TM	PHOBIUS_TM
A5HYG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYG8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYH0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYH6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYJ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYJ1	1	PHOBIUS_TM	PHOBIUS_TM
A5HYJ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYJ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYK4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYK5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYK7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYK9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYL5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYL7	1	PHOBIUS_TM	PHOBIUS_TM
A5HYL8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYM1	1	PHOBIUS_TM	PHOBIUS_TM
A5HYM3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYM5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYM7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYM9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYN7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYP4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYP5	1	PHOBIUS_TM	PHOBIUS_TM
A5HYQ0	1	PHOBIUS_TM	PHOBIUS_TM
A5HYQ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYQ2	1	PHOBIUS_TM	PHOBIUS_TM
A5HYQ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYQ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYQ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYS0	1	PHOBIUS_TM	PHOBIUS_TM
A5HYS6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYT0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYT3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYU2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYU3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYU5	1	PHOBIUS_TM	PHOBIUS_TM
A5HYU7	1	PHOBIUS_TM	PHOBIUS_TM
A5HYW5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYX8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYX9	1	PHOBIUS_TM	PHOBIUS_TM
A5HYY5	1	PHOBIUS_TM	PHOBIUS_TM
A5HYY9	1	PHOBIUS_TM	PHOBIUS_TM
A5HYZ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYZ9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ03	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ04	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ07	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ08	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ10	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ14	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ29	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ30	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ35	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ36	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ38	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ39	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ40	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ42	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ43	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ53	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ67	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ68	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ69	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ71	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ73	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ78	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ85	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ87	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ91	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ92	1	PHOBIUS_TM	PHOBIUS_TM
A5HZ95	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ96	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ97	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZA0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZA1	2	GPI|SL	GPI|SL
A5HZA5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZA7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZB0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZC3	1	PHOBIUS_TM	PHOBIUS_TM
A5HZC7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZD0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZD5	1	PHOBIUS_TM	PHOBIUS_TM
A5HZD6	1	PHOBIUS_TM	PHOBIUS_TM
A5HZE0	1	PHOBIUS_TM	PHOBIUS_TM
A5HZE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZE5	1	PHOBIUS_TM	PHOBIUS_TM
A5HZE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZE8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZF6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZG2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZG4	1	PHOBIUS_TM	PHOBIUS_TM
A5HZH2	1	PHOBIUS_TM	PHOBIUS_TM
A5HZH8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZH9	1	PHOBIUS_TM	PHOBIUS_TM
A5HZI9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZJ4	1	PHOBIUS_TM	PHOBIUS_TM
A5HZJ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZK4	1	PHOBIUS_TM	PHOBIUS_TM
A5HZK7	1	PHOBIUS_TM	PHOBIUS_TM
A5HZL1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZL6	1	PHOBIUS_TM	PHOBIUS_TM
A5HZN0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZN7	1	PHOBIUS_TM	PHOBIUS_TM
A5HZQ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZQ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZR1	1	PHOBIUS_TM	PHOBIUS_TM
A5HZR2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZT1	1	PHOBIUS_TM	PHOBIUS_TM
A5HZT9	1	PHOBIUS_TM	PHOBIUS_TM
A5HZV3	1	PHOBIUS_TM	PHOBIUS_TM
A5HZV6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZV8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZV9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZW8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZX1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZX7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZX8	1	PHOBIUS_TM	PHOBIUS_TM
A5HZY3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I003	1	PHOBIUS_TM	PHOBIUS_TM
A5I010	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I015	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I029	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I033	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I037	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I058	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I062	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I066	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I067	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I084	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I087	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I094	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I095	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I098	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0B0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0B8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0C2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0C6	1	PHOBIUS_TM	PHOBIUS_TM
A5I0D0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0D2	1	PHOBIUS_TM	PHOBIUS_TM
A5I0D3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0D4	1	PHOBIUS_TM	PHOBIUS_TM
A5I0D5	1	PHOBIUS_TM	PHOBIUS_TM
A5I0D6	1	PHOBIUS_TM	PHOBIUS_TM
A5I0D7	1	PHOBIUS_TM	PHOBIUS_TM
A5I0E4	1	PHOBIUS_TM	PHOBIUS_TM
A5I0E9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0F8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0F9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0G1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0G5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0H8	1	PHOBIUS_TM	PHOBIUS_TM
A5I0H9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0I0	1	PHOBIUS_TM	PHOBIUS_TM
A5I0I1	1	PHOBIUS_TM	PHOBIUS_TM
A5I0I3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0I4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0I5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0I6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0J3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0L2	1	PHOBIUS_TM	PHOBIUS_TM
A5I0M5	1	PHOBIUS_TM	PHOBIUS_TM
A5I0N1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0N2	1	PHOBIUS_TM	PHOBIUS_TM
A5I0N7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
