SEQENCE ID                     TM SP PREDICTION
A5I5R9                          0  0 o
A5I5U3                          0  0 o
A5I5U9                          0  0 o
A5I5V2                          0  0 o
A5I5V9                          0  0 o
A5I5W0                          0  0 o
A5I5W1                          0  0 o
A5I5W2                          0  0 o
A5I5Y9                          0  Y n4-12c20/21o
A5I5Z5                          0  0 o
A5I5Z6                          0  0 o
A5I603                          0  0 o
A5I618                          0  0 o
A5I619                          0  0 o
A5I626                          0  0 o
A5I627                          0  0 o
A5I639                          0  0 o
A5I640                          0  0 o
A5I641                          0  0 o
A5I644                          0  0 o
A5I647                          0  0 o
A5I656                          0  0 o
A5I657                          0  0 o
A5I666                          0  0 o
A5I675                          9  0 o20-38i50-72o78-94i143-159o165-182i189-211o276-293i305-326o338-361i
A5I684                          0  0 o
A5I694                          0  0 o
A5I6D5                          0  0 o
A5I6D9                          0  0 o
A5I6E1                          0  0 o
A5I6E9                          0  0 i
A5I6F1                          0  0 o
A5I6F2                          0  0 o
A5I6G2                          0  0 o
A5I6G9                          0  0 i
A5I6K2                          0  0 o
A5I6L0                          0  0 o
A5I6L1                          0  0 o
A5I6L8                          0  0 o
A5I6N2                          0  0 o
A5I6N3                          0  0 o
A5I6P3                          0  0 o
A5I6U5                          0  0 o
A5I6V8                          0  0 o
A5I6W0                          0  0 o
A5I6W1                          1  0 o88-108i
A5I6W2                          0  0 o
A5I6W5                          0  0 o
A5I6W6                          0  0 o
A5I6W7                          0  0 o
A5I6W9                          0  0 o
A5I6X1                          0  0 o
A5I6Z7                          0  0 o
A5I705                          0  0 o
A5I720                          0  0 o
A5I721                          0  0 o
A5I723                          0  0 o
A5I738                          0  0 o
A5I748                          0  0 o
A5I760                          0  0 o
A5I761                          0  0 o
A5I768                          0  0 o
A5I785                          0  0 o
A5I788                          0  0 o
A5I798                          0  0 o
A5I7A3                          0  0 o
A5I7B1                          0  0 o
A5I7B2                          0  0 o
A5I7C2                          0  0 o
A5I7D5                          0  0 o
A5I7E5                          0  0 o
A5I7G3                          0  0 o
A5I7H2                          0  0 o
A5I7H7                          0  0 o
A5I7I4                          0  0 o
A5I7I5                          0  0 o
A5I7K8                          0  0 o
A5I7L3                          0  0 o
A5I7L4                          0  0 o
A5I7M6                          0  0 o
A5I7M8                          0  0 o
A5I7M9                          0  0 o
A5I7N1                          0  0 o
A5I7N4                          0  0 o
A5I7P2                          0  0 o
A5I7P3                          0  0 o
A5I7P4                          0  0 o
A5I7P8                          0  0 o
A5I7Q1                          0  0 o
A5I7R5                          0  0 o
A5I7S3                          1  0 i12-32o
A5I7T7                          0  0 o
A5I7U0                          0  0 o
A5I7U4                          0  0 o
A5I7V0                          0  0 o
A5I7W9                          0  0 i
A5I7X4                          0  0 o
A5I7X8                          1  0 i306-324o
A5I7Y4                          0  0 o
A5I7Y9                          0  0 o
A5I7Z3                          0  0 o
A5I816                          0  0 o
A5HXP8                          0  0 o
A5HXQ0                          0  0 o
A5HXS6                          0  0 o
A5HXS7                          0  0 o
A5HXS8                          0  0 o
A5HXT2                          0  0 o
A5HXV1                          0  0 o
A5HXV3                          0  0 o
A5HXV8                          0  0 o
A5HXV9                          0  Y n5-16c24/25o
A5HXW2                          0  0 o
A5HXW9                         12  0 i12-31o54-78i90-112o132-152i164-184o196-216i258-278o284-301i321-341o361-379i391-413o419-438i
A5HXX0                          0  0 o
A5HXY5                          0  0 o
A5HXZ2                          0  0 o
A5HXZ9                          0  0 o
A5HY00                          0  0 o
A5HY15                          0  0 o
A5HY31                          0  0 o
A5HY35                          0  0 o
A5HY40                          0  0 o
A5HY43                         11  0 o6-36i48-66o72-91i103-124o130-151i163-182o188-207i219-235o241-262i293-314o320-339i
A5HY44                          0  0 o
A5HY46                          6  0 i12-40o77-99i106-125o145-164i176-200o206-224i
A5HY48                          1  0 o6-27i
A5HY49                          0  0 o
A5HY51                          0  0 o
A5HY53                          0  0 o
A5HY59                          0  0 o
A5HY66                          0  0 o
A5HY68                          0  0 o
A5HY71                          5  0 o12-31i43-63o75-97i109-130o162-186i
A5HY79                          0  0 o
A5HY91                          5  0 o33-49i70-89o95-113i125-144o150-168i
A5HY93                          0  0 o
A5HY97                          1  0 i12-29o
A5HY98                          0  0 o
A5HY99                          1  0 o29-48i
A5HYA2                          0  0 o
A5HYA3                          0  0 o
A5HYA6                          0  0 o
A5HYB7                          0  0 o
A5HYB9                          0  0 o
A5HYC4                          1  Y n6-21c29/30o53-75i
A5HYC5                          0  0 o
A5HYC7                          0  0 i
A5HYD5                          0  0 o
A5HYD9                          0  0 o
A5HYE1                          2  0 i12-34o172-194i
A5HYE2                          0  0 o
A5HYF7                          0  0 o
A5HYF8                          2  0 o6-27i167-190o
A5HYG0                          0  0 o
A5HYG5                          0  0 o
A5HYG6                          2  0 i14-35o47-64i
A5HYH1                          1  0 o6-24i
A5HYI2                          1  0 i7-27o
A5HYI7                          0  0 o
A5HYI8                          0  0 o
A5HYI9                          2  0 i12-35o173-197i
A5HYJ7                         12  0 i12-30o50-76i96-114o134-155i167-186o192-211i232-249o255-275i315-335o355-377i384-406o412-434i
A5HYK8                          0  0 o
A5HYL1                          0  0 o
A5HYL2                          2  0 i12-31o37-57i
A5HYN0                          6  0 o20-40i52-76o88-107i114-130o136-155i167-184o
A5HYN4                          6  0 i12-34o46-69i81-101o107-125i130-148o160-177i
A5HYN9                          0  0 o
A5HYP6                          0  0 o
A5HYP7                          2  0 i12-32o166-189i
A5HYQ3                         10  0 i21-40o52-75i87-109o115-142i163-185o191-214i318-339o351-375i387-407o413-437i
A5HYQ9                          0  0 o
A5HYR0                          2  0 i21-40o187-204i
A5HYR2                          0  0 o
A5HYR3                         10  0 i23-41o47-64i71-88o94-114i126-145o171-195i202-223o229-247i259-277o283-302i
A5HYR5                          5  0 o39-59i71-91o97-115i127-148o168-190i
A5HYR6                          6  0 o6-30i42-62o68-87i99-121o133-151i172-191o
A5HYS1                          0  Y n8-19c24/25o
A5HYS8                          0  Y n9-19c23/24o
A5HYS9                          6  0 i12-35o67-99i111-135o147-166i203-226o263-284i
A5HYT7                          0  0 i
A5HYT8                          6  0 o6-25i37-57o63-88i100-121o127-152i164-182o
A5HYT9                          0  0 i
A5HYV3                          0  0 o
A5HYV6                          0  0 o
A5HYW0                          1  0 o6-22i
A5HYX7                          0  0 o
A5HYY1                          2  0 i12-31o51-72i
A5HYZ8                          8  0 o6-27i34-54o60-80i92-112o138-157i188-209o221-246i253-276o
A5HZ16                          0  0 o
A5HZ17                          0  0 o
A5HZ22                          6  0 i136-153o159-177i361-381o393-418i693-713o719-741i
A5HZ48                          0  0 o
A5HZ49                          0  Y n7-18c30/31o
A5HZ55                          0  0 o
A5HZ56                          0  0 o
A5HZ60                          0  0 o
A5HZ76                         10  0 i55-73o79-95i244-262o274-298i670-692o698-716i737-761o773-790i811-834o846-866i
A5HZ86                          0  0 i
A5HZ99                          2  0 i41-62o74-95i
A5HZA6                          0  0 o
A5HZA8                          7  0 i12-32o66-88i100-122o128-149i187-209o232-254i266-285o
A5HZB8                          0  Y n13-24c29/30o
A5HZD7                          5  0 i12-30o42-62i69-88o94-117i149-171o
A5HZD9                          9  0 i5-21o27-47i59-82o88-113i171-190o196-216i254-275o349-374i386-406o
A5HZE1                          0  0 o
A5HZF1                          0  0 o
A5HZF2                          2  0 i7-30o168-188i
A5HZF4                          0  0 o
A5HZF5                          2  0 i12-31o59-82i
A5HZF8                          6  0 i7-25o31-48i55-74o94-111i118-137o149-172i
A5HZI6                          0  0 o
A5HZJ6                          0  0 o
A5HZK5                         10  0 o6-24i36-59o71-88i95-120o162-181i213-233o239-258i270-293o299-320i367-393o
A5HZL8                          0  0 o
A5HZL9                          0  0 o
A5HZM1                          0  0 o
A5HZM9                          0  Y n7-18c23/24o
A5HZN3                          0  0 o
A5HZN6                          1  Y n8-19c24/25o286-316i
A5HZN9                          0  0 o
A5HZP0                          0  0 o
A5HZP1                          0  0 o
A5HZP2                          0  0 o
A5HZP4                          0  0 o
A5HZQ4                          0  0 o
A5HZQ5                          0  0 o
A5HZR7                          0  0 o
A5HZR9                          0  0 o
A5HZU9                         10  0 i20-37o49-65i86-113o125-147i159-181o187-208i229-247o259-281i293-314o320-339i
A5HZW9                          0  0 o
A5HZX3                          0  Y n4-16c21/22o
A5HZX9                          0  0 o
A5HZY0                          2  0 i12-32o114-133i
A5I005                         12  0 i9-28o40-67i79-98o110-135i147-168o188-209i221-243o275-296i308-329o335-356i368-386o406-425i
A5I006                         12  0 i9-28o40-64i76-96o116-135i147-168o188-207i219-240o273-297i309-330o336-357i369-387o407-425i
A5I011                          0  0 o
A5I019                          0  0 i
A5I022                          0  0 o
A5I055                          0  Y n8-20c29/30o
A5I068                          0  0 o
A5I073                          9  0 o109-133i145-162o174-195i207-230o250-272i284-306o326-347i384-405o425-451i
A5I074                          0  0 o
A5I089                          0  0 o
A5I096                          0  0 o
A5I097                          2  0 i12-36o48-69i
A5I0A1                          0  0 o
A5I0A5                          0  0 o
A5I0A6                          4  0 o12-35i56-78o84-103i301-319o
A5I0A8                          6  Y n6-17c23/24o33-54i66-86o98-124i131-150o162-183i195-222o
A5I0A9                          2  0 i7-25o66-84i
A5I0B3                          0  0 o
A5I0C8                          0  0 o
A5I0D9                          0  0 o
A5I0E5                          0  Y n7-15c20/21o
A5I0F2                          0  0 o
A5I0F3                          0  0 o
A5I0F4                          0  Y n10-22c27/28o
A5I0F5                          6  0 i12-37o57-75i87-108o128-149i185-208o234-255i
A5I0G2                          0  0 o
A5I0G3                          2  0 i12-38o174-194i
A5I0G7                          0  0 o
A5I0G8                          0  0 o
A5I0H5                          0  0 o
A5I0J4                          0  0 o
A5I0J7                         13  0 o6-24i36-59o65-84i105-131o143-170i182-203o209-227i239-260o280-301i322-344o364-382i389-415o482-502i
A5I0M2                         10  0 i283-300o320-338i345-370o390-413i425-449o455-475i518-539o615-634i646-665o677-696i
A5I0M7                          0  0 o
A5I0M8                          1  Y n10-25c29/30o156-174i
A5I0N0                          1  0 o242-261i
A5I0N3                          0  0 o
A5I0N4                          1  Y n9-19c24/25o173-191i
A5I0P6                          0  0 o
A5I0Q0                          0  Y n11-21c29/30o
A5I0R4                         12  0 i27-45o65-83i95-111o117-136i157-180o186-205i251-270o290-309i321-337o343-368i375-394o406-428i
A5I0R5                          0  0 o
A5I0R9                          8  0 o205-224i265-291o320-338i350-374o380-400i438-456o530-550i562-586o
A5I0S2                          0  0 o
A5I0S4                          0  Y n6-16c21/22o
A5I0T0                          0  0 o
A5I0T7                          0  0 o
A5I0U1                          0  0 o
A5I0U5                         12  0 i15-36o48-74i95-118o138-155i167-190o196-216i236-260o272-292i320-344o356-377i389-409o415-438i
A5I0V2                          0  0 o
A5I0W2                          1  0 i20-38o
A5I0W6                          5  0 i287-304o310-328i361-381o387-411i423-445o
A5I0W7                          0  0 o
A5I0W8                          0  0 o
A5I0X5                          0  0 o
A5I0Z6                          0  0 o
A5I106                          0  0 o
A5I110                          0  0 o
A5I118                          0  0 o
A5I121                          0  0 o
A5I130                          0  0 o
A5I140                          0  Y n14-29c34/35o
A5I150                          0  0 o
A5I151                          0  0 o
A5I173                          0  0 o
A5I194                          0  Y n10-21c26/27o
A5I198                          0  0 o
A5I199                          0  0 o
A5I1A0                          0  0 o
A5I1A4                          1  0 o461-479i
A5I1A5                          0  0 o
A5I1A6                          0  0 o
A5I1C7                          6  0 o6-27i39-58o64-86i116-135o141-162i174-191o
A5I1C9                          0  0 o
A5I1D8                          6  0 o6-23i35-55o75-98i159-181o193-214i234-253o
A5I1D9                          0  0 o
A5I1E0                          8  0 i157-182o194-212i233-252o264-281i415-436o442-464i757-779o785-804i
A5I1F4                         10  0 i12-32o38-56i68-89o134-160i181-202o233-258i270-288o331-358i392-412o453-473i
A5I1G2                         12  0 i12-35o41-59i66-85o91-111i123-150o170-190i211-233o278-296i303-320o326-350i357-374o380-402i
A5I1G6                          0  0 o
A5I1H9                          9  0 i123-144o156-180i213-232o252-272i284-307o327-347i359-378o384-402i423-446o
A5I1K7                          0  0 o
A5I1L0                          5  0 i7-25o31-51i58-87o99-117i124-141o
A5I1L1                          0  0 o
A5I1L9                          0  0 o
A5I1M1                          0  0 o
A5I1M2                          0  0 o
A5I1M6                          0  0 o
A5I1M7                          2  0 i12-32o38-55i
A5I1N6                          1  Y n8-19c24/25o384-408i
A5I1P2                          0  0 o
A5I1P6                          0  0 o
A5I1R3                          0  0 o
A5I1R9                          0  0 o
A5I1S1                          0  Y n6-17c25/26o
A5I1S2                          0  Y n6-17c25/26o
A5I1S3                          0  Y n6-17c25/26o
A5I1S4                          0  Y n6-17c25/26o
A5I1S5                          0  Y n6-17c25/26o
A5I1S6                          0  0 o
A5I1S7                          0  0 o
A5I1S8                          0  0 o
A5I1T1                          0  0 o
A5I1T2                          0  0 o
A5I1T3                          0  0 o
A5I1U0                          1  0 i24-45o
A5I1U4                          0  0 o
A5I1U5                          0  0 o
A5I1V0                          0  0 o
A5I1V5                          0  0 o
A5I1V6                          0  0 o
A5I1V7                         12  0 i12-34o40-59i66-85o91-112i119-141o161-181i188-207o231-248i311-335o341-362i374-395o401-418i
A5I1V8                          0  0 o
A5I1W1                          0  Y n4-15c23/24o
A5I1W2                          5  0 o6-29i41-64o79-103i131-153o194-214i
A5I1X3                          0  0 o
A5I1Y2                          0  0 i
A5I1Y4                          0  0 o
A5I203                          1  Y n11-26c32/33o306-328i
A5I221                         10  0 i59-75o81-99i241-259o271-296i670-692o698-718i746-765o771-787i808-824o844-864i
A5I229                          0  0 o
A5I239                          0  0 o
A5I240                          0  0 o
A5I242                          0  0 o
A5I244                          0  0 o
A5I245                          0  0 o
A5I248                          0  0 o
A5I259                          0  0 o
A5I260                          2  0 i14-40o152-174i
A5I261                          0  0 o
A5I266                          0  0 i
A5I276                          0  0 o
A5I283                          6  0 i9-30o265-282i303-323o335-353i397-416o422-441i
A5I284                          0  0 o
A5I291                          0  0 o
A5I2A0                          0  0 o
A5I2A3                          0  0 o
A5I2A4                          0  0 o
A5I2A5                          0  0 o
A5I2A6                          0  0 o
A5I2A7                          5  0 i20-45o65-92i145-168o180-198i234-253o
A5I2A8                          0  0 o
A5I2A9                          0  0 o
A5I2R5                          0  0 o
A5I2R9                          0  0 o
A5I2S1                          0  0 o
A5I2S2                          0  0 o
A5I2S6                          0  0 i
A5I2T0                          0  0 o
A5I2T1                          0  0 o
A5I2T3                          0  0 o
A5I2T5                          0  0 o
A5I2U2                          1  0 i7-25o
A5I2W3                          0  0 o
A5I2W4                          0  0 o
A5I2X6                          0  Y n10-21c28/29o
A5I2X9                          0  0 o
A5I2Y0                          0  0 o
A5I2Y2                          0  Y n8-19c28/29o
A5I2Y7                          0  0 o
A5I2Y8                          0  0 o
A5I2Z1                          0  0 o
A5I2Z9                          0  0 o
A5I300                          0  0 o
A5I301                          0  0 o
A5I302                          0  0 i
A5I307                          0  0 o
A5I308                          0  0 i
A5I309                          0  0 o
A5I310                          0  0 i
A5I321                          0  0 o
A5I337                          0  0 o
A5I341                          0  0 o
A5I346                          0  0 o
A5I347                          4  0 o19-37i255-276o306-325i337-353o
A5I348                          0  0 o
A5I350                          2  0 o12-35i174-194o
A5I351                          0  0 o
A5I355                          5  0 i45-65o101-122i180-197o203-220i288-309o
A5I356                          5  Y n11-22c26/27o257-280i327-347o353-376i435-456o476-494i
A5I364                          0  0 o
A5I366                          0  0 o
A5I368                          0  0 o
A5I372                         10  0 i12-30o50-79i99-124o136-154i166-189o195-216i318-338o358-379i391-411o417-436i
A5I392                          2  0 i12-36o158-182i
A5I393                          0  0 o
A5I398                          0  0 o
A5I3B2                         10  0 i105-129o159-179i188-209o229-248i260-284o304-324i344-365o377-396i403-422o442-464i
A5I3B3                          0  0 o
A5I3B7                          0  0 o
A5I3B8                          0  0 i
A5I3C4                          0  0 o
A5I3F5                          0  0 o
A5I3H7                          0  0 o
A5I3I2                          0  Y n11-22c30/31o
A5I3J1                          0  0 o
A5I3K6                          0  0 o
A5I3L0                          0  0 o
A5I3M5                          0  0 o
A5I3M8                          0  0 o
A5I3N4                          0  0 o
A5I3N9                          0  0 o
A5I3P8                         12  0 i7-27o47-71i83-106o126-147i159-177o183-203i224-255o261-283i304-326o350-371i383-401o407-426i
A5I3Q7                          2  0 i12-30o36-55i
A5I3Q8                          0  0 o
A5I3R7                          0  0 o
A5I3S2                         11  0 o12-30i42-62o92-112i119-142o148-166i222-241o253-274i295-318o324-347i368-391o424-442i
A5I3V5                          0  0 o
A5I3X9                          0  0 o
A5I3Y3                          1  0 i12-33o
A5I3Y9                          0  0 o
A5I3Z0                          0  0 o
A5I403                          0  0 o
A5I445                          0  0 i
A5I446                          0  0 o
A5I454                          0  0 o
A5I458                          0  0 o
A5I475                          2  0 i21-44o94-116i
A5I476                          0  0 o
A5I498                          0  Y n6-16c21/22o
A5I4D7                          0  0 o
A5I4H3                          0  0 o
A5I4H8                          1  0 o6-25i
A5I4H9                          0  0 o
A5I4I0                          4  0 i12-30o36-55i76-100o162-187i
A5I4I2                          5  0 i21-44o50-74i86-105o125-144i151-173o
A5I4J2                          0  0 i
A5I4J6                          0  0 o
A5I4J7                          0  0 o
A5I4J9                          0  0 o
A5I4K1                          3  Y n4-15c29/30o88-109i262-284o309-327i
A5I4K7                          7  0 o6-34i54-71o77-95i102-124o130-150i171-192o198-219i
A5I4K8                          0  0 o
A5I4K9                          0  0 o
A5I4L2                          0  0 o
A5I4L3                          0  0 o
A5I4L4                          0  0 o
A5I4M0                          0  0 o
A5I4M1                          1  0 i12-32o
A5I4M2                          0  0 o
A5I4M3                          0  0 o
A5I4M4                          0  0 o
A5I4M5                          0  0 o
A5I4N3                          0  0 i
A5I4N8                          0  0 o
A5I4P6                          2  0 i12-34o293-316i
A5I4Q2                          0  0 o
A5I4S3                          0  0 o
A5I4S6                          0  0 o
A5I4S9                          0  0 o
A5I4T2                          1  0 i355-377o
A5I4T3                          0  0 o
A5I4T5                          0  0 o
A5I4T7                          0  0 o
A5I4T8                          0  0 i
A5I4U1                          0  0 o
A5I4U2                          0  Y n5-12c17/18o
A5I4U7                          0  0 o
A5I4V2                          0  0 o
A5I4V3                          0  0 o
A5I4V5                          6  0 i26-52o87-116i128-149o161-183i220-242o279-301i
A5I4V6                          0  Y n8-19c23/24o
A5I4V7                          2  0 o6-28i157-176o
A5I4V8                          0  0 o
A5I4V9                          0  0 o
A5I4W1                          0  0 o
A5I4W3                          0  0 o
A5I4W4                          0  0 o
A5I4W5                          5  0 o6-22i34-52o58-76i88-106o126-144i
A5I4W7                          0  0 o
A5I4X2                          0  Y n10-18c23/24o
A5I4Y7                          0  0 o
A5I4Y8                          1  0 i7-28o
A5I4Z1                          0  0 o
A5I4Z3                          0  0 o
A5I502                          0  0 o
A5I506                          0  0 o
A5I512                         12  0 i23-43o55-79i100-123o143-160i172-195o201-223i244-266o286-311i323-343o363-384i404-421o427-443i
A5I524                          0  0 o
A5I525                          0  Y n3-8c13/14o
A5I532                          0  0 o
A5I536                          0  0 o
A5I537                          2  0 i253-273o285-306i
A5I538                          0  0 o
A5I546                          0  0 o
A5I548                          0  0 o
A5I554                          0  0 o
A5I555                          0  0 o
A5I556                          0  0 o
A5I560                          0  0 o
A5I561                          3  Y n16-27c35/36o59-80i92-108o135-157i
A5I562                          8  Y n9-14c18/19o368-394i415-438o444-464i485-505o511-529i541-559o565-585i592-616o
A5I568                         10  0 i40-63o69-85i223-243o249-275i650-672o678-699i727-750o756-774i786-811o823-845i
A5I569                          0  0 o
A5I575                          0  0 o
A5I578                          0  0 o
A5I579                          8  0 i12-31o37-58i70-91o111-134i199-220o240-257i277-294o300-317i
A5I580                         10  0 i7-28o34-54i66-94o124-147i168-192o212-233i289-310o348-373i394-417o437-467i
A5I581                          2  0 i12-35o55-76i
A5I582                          4  Y n10-21c28/29o58-88i100-119o201-225i237-257o
A5I583                          0  Y n12-23c28/29o
A5I584                          1  0 o16-37i
A5I590                          0  0 o
A5I592                          0  0 i
A5I593                          0  0 o
A5I595                          0  Y n13-21c26/27o
A5I596                          2  0 i21-44o431-451i
A5I597                          0  0 o
A5I599                          0  0 o
A5I5A0                          0  0 o
A5I5A3                          0  0 o
A5I5A8                          2  0 o6-25i34-54o
A5I5C1                          0  0 o
A5I5C9                          0  0 o
A5I5G4                          0  0 o
A5I5G5                          0  0 o
A5I5G7                          0  0 o
A5I5H1                          0  0 i
A5I5H2                          0  0 o
A5I5H4                          0  0 o
A5I5H7                          0  0 o
A5I5H8                          0  0 o
A5I5I2                          0  0 o
A5I5I5                          0  0 o
A5I5J4                          1  0 i12-30o
A5I5J7                          0  0 o
A5I5J8                          0  0 i
A5I5K5                          0  0 o
A5I5K6                          0  0 o
A5I5L3                          0  Y n2-13c18/19o
A5I5L6                         12  0 i16-34o40-60i94-116o138-160i167-186o192-216i237-262o274-297i318-341o361-382i394-414o420-442i
A5I5P1                          2  0 o6-30i179-201o
A5I5P4                          0  0 o
A5I5P5                          0  Y n5-16c24/25o
A5I5P9                          0  0 i
A5I5Q0                          0  0 o
A5I5Q7                          0  0 o
A5I5R0                          0  0 o
A5I5R2                          0  0 o
A5I5R6                          0  0 o
A5I5R8                          1  0 i9-28o
A5I5S0                          0  0 o
A5I5S4                         11  Y n22-32c37/38o53-76i83-100o106-124i144-164o170-192i204-220o240-259i271-288o294-318i325-342o348-368i
A5I5S5                         12  0 i20-42o62-83i95-117o137-158i170-189o195-217i229-251o271-292i313-333o357-378i390-410o416-436i
A5I5S6                         12  0 i20-40o52-76i97-120o140-157i169-190o196-219i239-262o274-293i325-349o361-381i388-410o416-441i
A5I5V1                          0  0 o
A5I5V5                         10  0 i79-99o105-123i267-288o300-324i689-706o712-729i750-773o785-803i815-837o849-869i
